ciudades,x,y
Altamira,0.630299,0.434242
Allende,0.747262,0.200048
Aldama,0.625796,0.463504
Ãlamo,0.639002,0.352353
Ajalpan,0.652763,0.212384
Agua Dulce,0.755431,0.199161
Actopan,0.597145,0.316922
Acayucan,0.730073,0.188646
Acatzingo de Hidalgo,0.635377,0.245661
AcatlÃ¡n de Osorio,0.626672,0.202666
Acapulco de JuÃ¡rez,0.565929,0.128647
Acala,0.799556,0.111611
Acajete,0.629891,0.252502
San Antonio Acahualco,0.569834,0.261891
Miraflores,0.601447,0.259179
Santiago Tlacotepec,0.573161,0.259298
San Antonio de la Cal,0.67114,0.137766
Hidalgo,0.574886,0.62575
RÃ­o de Teapa,0.796494,0.179469
El Carmen Tequesquitla,0.639706,0.264669
Huamantla,0.630809,0.264153
Santo Toribio Xicohtzingo,0.62058,0.256342
La Magdalena Tlaltelulco,0.621808,0.262382
Zacatelco,0.620369,0.258676
Tlaxcala de Xicohtencatl,0.621685,0.264381
Papalotla,0.621551,0.256066
Tenancingo,0.621609,0.254853
Vicente Guerrero,0.622935,0.253664
TonalÃ¡,0.768275,0.0858294
Arriaga,0.76346,0.0940541
Tezoyuca,0.598231,0.279514
San AndrÃ©s Cholula,0.61838,0.24951
Ciudad de Chiautla de Tapia,0.608356,0.208055
Alfredo V. Bonfil,0.996173,0.362144
Las Amapolas,0.687725,0.255145
Tampico,0.63261,0.426676
Alto Lucero,0.646685,0.354729
Juan RodrÃ­guez Clara,0.713996,0.191135
San Mateo Otzacatipan,0.575384,0.265138
Santa MarÃ­a Totoltepec,0.575736,0.263689
San Pedro Tultepec,0.578488,0.261402
San Antonio la Isla,0.576579,0.255759
San Mateo AtarasquÃ­llo,0.580065,0.264602
San Lorenzo Acopilco,0.584551,0.264925
Benito Juarez,0.590089,0.268767
Venustiano Carranza,0.592082,0.271225
Miguel Hidalgo,0.588663,0.270774
CuauhtÃ©moc,0.59047,0.271346
Huixquilucan,0.583739,0.266637
San Miguel Vindho,0.584806,0.301714
San Pedro Xalpa,0.589199,0.292439
Melchor Ocampo,0.590546,0.285574
Huilango,0.586832,0.284363
Santiago Teyahualco,0.591219,0.283111
Ojo de Agua,0.59496,0.284348
Buenavista,0.589701,0.280371
Miguel AlemÃ¡n (La Doce),0.1837,0.790651
Eldorado,0.319284,0.541046
Leyva Solano,0.277399,0.614957
CihuatlÃ¡n,0.411716,0.259824
Guadalupe Victoria,0.0640305,0.981286
ZinapÃ©cuaro,0.535031,0.294337
Ixtapa-Zihuatanejo,0.511104,0.171765
Zaragoza,0.53188,0.771467
Zapotlanejo,0.461112,0.336426
Zapotiltic,0.449571,0.28143
Zapopan,0.450651,0.342013
Zamora,0.486966,0.301218
Zacoalco de Torres,0.444584,0.314631
Estado de Zacatecas,0.463344,0.46784
Zacatecas,0.477152,0.45504
ZacapÃº,0.503244,0.291733
Yuriria,0.524959,0.313672
YurÃ©cuaro,0.486981,0.320668
Yahualica de GonzÃ¡lez Gallo,0.467101,0.36723
Villa UniÃ³n,0.357244,0.478266
Villanueva,0.467183,0.432273
Villa Juarez,0.237742,0.696036
Villa Hidalgo,0.389752,0.398297
Villa Hidalgo,0.476917,0.394834
VillagrÃ¡n,0.529401,0.330459
Ciudad Frontera,0.514403,0.684961
Villa Escalante,0.50826,0.26921
GarcÃ­a,0.542706,0.623239
